央视,#genre#	
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://hls.ye23.vip/hls/cctv1hd.m3u8
CCTV-2,http://hls.ye23.vip/hls/cctv2hd.m3u8
CCTV-3,http://hls.ye23.vip/hls/cctv3hd.m3u8
CCTV-4,http://hls.ye23.vip/hls/cctv4hd.m3u8
CCTV-5,http://hls.ye23.vip/hls/cctv5hd.m3u8
CCTV-6,http://hls.ye23.vip/hls/cctv6hd.m3u8
CCTV-7,http://hls.ye23.vip/hls/cctv7hd.m3u8
CCTV-8,http://hls.ye23.vip/hls/cctv8hd.m3u8
CCTV-9,http://hls.ye23.vip/hls/cctv9hd.m3u8
CCTV-10,http://hls.ye23.vip/hls/cctv10hd.m3u8
CCTV-11,http://hls.ye23.vip/hls/cctv11hd.m3u8
CCTV-12,http://hls.ye23.vip/hls/cctv12hd.m3u8
CCTV-13,http://hls.ye23.vip/hls/cctv13hd.m3u8
CCTV-14,http://hls.ye23.vip/hls/cctv14hd.m3u8
CCTV-15,http://hls.ye23.vip/hls/cctv15hd.m3u8
CCTV-16,http://hls.ye23.vip/hls/cctv16hd.m3u8
CCTV-17,http://hls.ye23.vip/hls/cctv17hd.m3u8
CCTV5+,http://111.40.196.25/PLTV/88888888/224/3221225767/index.m3u8?$高清720P
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?$蓝光1080P#https://p.ggiptv.com/v/4k.m3u8?$蓝光4K#http://117.148.129.6/PLTV/88888888/224/3221233400/index.m3u8?$蓝光4K
CGTN,http://39.136.48.29:8089/PLTV/88888888/224/3221226320/index.m3u8
CGTN纪录,https://livedoc.cgtn.com/1000d/prog_index.m3u8
CGTN阿拉伯语,http://39.136.48.58:8089/PLTV/88888888/224/3221226405/index.m3u8
CGTN西班牙语,http://39.136.48.18:8089/PLTV/88888888/224/3221226324/index.m3u8
CGTN法语,http://39.136.48.18:8089/PLTV/88888888/224/3221226399/index.m3u8
CGTN俄语,http://39.136.48.58:8089/PLTV/88888888/224/3221226326/index.m3u8
CCTV第一剧场,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV风云剧场,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513603.m3u8
CCTV怀旧剧场,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV世界地理,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV风云音乐,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012514103.m3u8
CHC动作电影,http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8
CHC家庭影院,http://111.20.33.93/PLTV/88888893/224/3221226462/index.m3u8
CHC高清电影,http://111.20.33.93/PLTV/88888893/224/3221226463/index.m3u8
CHC家庭影院,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/encoder/0/playlist.m3u8?CONTENTID=00000110240323_1
CHC动作电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/encoder/0/playlist.m3u8?CONTENTID=00000110240324_1
CHC高清电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/encoder/0/playlist.m3u8?CONTENTID=00000110240325_1
