全部频道,#genre#
CCTV01·综合,http://111.40.196.33/PLTV/88888888/224/3221225769/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226834/48356507.smil#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-1hd/1.m3u8#http://117.148.179.155:80/PLTV/88888888/224/3221231468/1.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227634/index.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-1-MD/G_CCTV-1-MD.m3u8#http://scgctvshow.sctv.com/scgc/cctv1/index.m3u8
CCTV02·财经,http://39.135.32.28:6610/000000001000/1000000001000012442/1.m3u8?#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-2hd/1.m3u8#rtsp://183.252.176.54:554/PLTV/88888888/224/3221226655/40417429.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-2-MD/G_CCTV-2-MD.m3u8#http://117.148.179.147:80/PLTV/88888888/224/3221231678/1.m3u8
CCTV03·综艺,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-3hd/1.m3u8#http://111.40.196.29/PLTV/88888888/224/3221225588/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#https://jwplay.hebyun.com.cn:443/live/cctv3/1500k/tzwj_video.m3u8#http://223.110.242.133:6610/jsyd/live1/G_CCTV-3-MD/G_CCTV-3-MD/#http://117.148.179.183:80/PLTV/88888888/224/3221231682/index.m3u8
CCTV04·国际,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8#http://39.135.32.28:6610/000000001000/1000000002000031664/1.m3u8?#http://117.148.179.183/PLTV/88888888/224/3221231726/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226633/40417241.smil#http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8
CCTV05·体育,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-5hd/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225837/1.m3u8
CCTV06·电影,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-6hd/1.m3u8#http://223.110.245.172/PLTV/3/224/3221225548/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8#http://39.135.32.28:6610/000000001000/1000000001000016466/1.m3u8?#https://jwplay.hebyun.com.cn:443/live/cctv6/1500k/tzwj_video.m3u8
CCTV07·军事,rtsp://183.252.166.199/PLTV/88888888/224/3221226645/40426612.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-7hd/1.m3u8#http://39.135.32.29:6610/000000001000/1000000001000017218/1.m3u8?#http://183.207.248.71/cntv/live1/cctv-7/cctv-7
CCTV08·电视剧,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-8hd/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225631/index.m3u8#http://111.40.196.31/PLTV/88888888/224/3221225592/index.m3u8#http://39.134.39.37/PLTV/88888888/224/3221226257/index.m3u8#http://117.148.179.160:80/PLTV/88888888/224/3221231694/index.m3u8
CCTV09·记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://111.40.196.34/PLTV/88888888/224/3221225502/index.m3u8#http://117.148.179.163/PLTV/88888888/224/3221231697/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226637/40417257.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-9hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8
CCTV10·科教,http://117.148.179.174/PLTV/88888888/224/3221231666/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226718/40417274.smil#http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8#http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-10hd/1.m3u8#http://111.63.77.77:80/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
